שם היישות,סוג ישות,שם רשמי,שם באנגלית,"מספר ח""פ",מקום מושב הישות,תיאור כללי,מקור - תיאור כללי,שנת הקמה,אתר אינטרנט,זרם,מקור - זרם דתי,תואר - איש,קהל יעד,רקע ומטרות,מקור לרקע ומטרות,,,"מס""ד"
הקרן החדשה לישראל,קרן,,New Israel Fund,,,"הקרן החדשה לישראל הינה קרן אמריקאית המהווה כיום ראש החץ השמאלני-ליברלי במלחמה על זהותה של מדינת ישראל. תוך שהיא מקדמת את האג'נדה שלה לפיה על ישראל להיות מדינת כל אזרחיה. הקרן הקימה ארגונים רבים באמצעות הזרוע הביצועית שלה - 'שתי""ל', והשקיעה עד היום למעלה מ-30,000,000$ במאות ארגוני 'זכויות אדם' בישראל : שמאל קיצוני, ארגונים ערביים פרו-פלסטיניים, להט""ב, רפורמים, פלורליזם דתי, ועוד. הקרן החדשה לישראל מפעילה כבר למעלה מ-30 שנה תכנית איכותית למשפטנים בתהליך לימודיהם ""להכשרת מנהיגות משפטית בתחום זכויות האדם"", במטרה להעניק כלים משפטיים לארגוני הקרן. ולהשפיע באמצעות בוגריה על מערכת המשפט בישראל",,1979,https://nif.org.il,,,,,"הקרן החדשה הוקמה ע""י יהודים אמריקאיים, למען ""קידום השוויון והדמוקרטיה בישראל"". הקרן מעניקה תמיכה כספית למאות ארגונים, שאת פעילותם היא רואה כמקדמת זכויות אדם, דו-קיום בין יהודים לערבים, זכויות מיעוטים בישראל, להט""ב, העצמה נשית ופלורליזם דתי. בעבר הופיע בדף השאלות והתשובות של הקרן כי היא מתנגדת ל""כיבוש הישראלי"" ביהודה ושומרון. בהמשך הניסוח שונה ונאמר שם שהארגונים שהקרן תומכת בהם עושים זאת ""מתוך אהבה למדינה ורצון להסיר מעל ישראל את הגיבנת המוסרית של השליטה בעם אחר"".
לצד חלוקת המענקים הכספיים מפעילה הקרן את ""שתי""ל"", המספקת שירותי תמיכה וייעוץ לעמותות, בעיקר לכאלו הנתמכות על ידי הקרן. 
במכתב ששלח מנכ""ל הקרן העולמי, דניאל סוקאץ', לתורמי הקרן בשנת 2010, ציין סוקאץ' בפירוש כי לדעת הקרן על ישראל להיות מדינת כל אזרחיה",https://rotter.net/forum/gil/20340.shtml#9,,,110
הקרן המרכזית לישראל,קרן,,,,,,,,,,,,,,,,,111
הקרן הנורווגית,קרן,,,,,,,,,,,,,,,,,112
הקרן הנורווגית לפרויקטים יהודיים,קרן,,,,,,,,,,,,,,,,,113
הקרן לידידות,קרן,,,,,,,,,,,,,,,,,114
הקרן לירושלים,קרן,הקרן לירושלים,,580012805,,,,,,,,,,,,,,115
הקרן לסביבה ירוקה,קרן,,,,,,,,,,,,,,,,,116
הקשת הדמוקרטית המזרחית,ארגון,"שיח חדש - למען השיח הדמוקרטי והרב תרבותי בישראל (ע""ר)",,580298719,,"הקשת הדמוקרטית המזרחית הציבה לעצמה יעדים רבים בכל תחומי החיים של החברה הישראלית. היא אוחזת בעמדה ביקורתית ביחס להסדרים הקיימים בתחומי הכלכלה, הקרקעות והשיכון, החינוך והתרבות, מתוך מטרה לעמוד על היסודות המבניים הגורמים לפגיעה בערכי הצדק, השוויון והדמוקרטיה. הקשת פועלת לחשיפתם של תהליכים ומנגנונים פורמליים ובלתי פורמליים, אשר אחראים לפגיעה כלכלית במזרחים ובאוכלוסיות אחרות, להנצחת הפער הכלכלי ולדיכוי התרבותי של המזרחים בישראל. הקשת פועלת למיגורן של דעות קדומות ולעקירתם מן השורש של סטריאוטיפים המנחים את מוסדותיה החינוכיים והתרבותיים של המדינה, ואת תפיסותיהן של האליטות התרבותיות ביחסן לתרבות המזרחית ויוצאי המזרח. הקשת פועלת מתוך אמונה שהשלמה עם תחלואים חברתיים אלה פוגעת קשות באפשרות של כל אזרחי ישראל לממש את עצמם, ומערערת את יציבותה של החברה הישראלית.
הקשת הדמוקרטית המזרחית מאמינה בחברה דמוקרטית, רב-תרבותית, צודקת וסולידרית. הקשת תפעל להגברת המודעות והנכונות של האזרחים והאזרחיות לפעול למען כינונה של חברת מופת מסוג זה. הקשת מאמינה, שחברה הפועלת מתוך כבוד לערכי הדמוקרטיה, הצדק, השוויון וההכרה בשונות התרבותית הקיימת בה, תוכל לתרום רבות לכינון יחסי אחווה בין חבריה ושלום בין שכנותיה.",,,,,,,,,,,,117
הרשות לפיתוח כלכלי של המגזר הערבי,קרן,,,,,,,,,,,,,,,,,118
השגחה פרטית,ארגון,"השגחה פרטית לקידום היהדות בישראל (ע""ר)",,580614790,,,,,http://www.kashrut.org.il/,,,,,,,,,119
"השגרירות הנוצרית הבינ""ל",קרן,,,,,,,,,,,,,,,,,120
