שם היישות,סוג ישות,שם רשמי,שם באנגלית,"מספר ח""פ",מקום מושב הישות,תיאור כללי,מקור - תיאור כללי,שנת הקמה,אתר אינטרנט,זרם,מקור - זרם דתי,תואר - איש,קהל יעד,רקע ומטרות,מקור לרקע ומטרות,,,"מס""ד"
נעמי פרל,איש,,,,,"מנהלת תכנית “שלוחי ציבור” באוניברסיטה העברית בירושלים. דוקטורנטית לסוציולוגיה של החינוך באוניברסיטה העברית, מחזיקה בתואר שני בחינוך מוסיקלי ממכללת לוינסקי בתל אביב ובוגרת בית יעקב למורות בירושלים. הקימה את התכנית האקדמית למוסיקאיות ולמורות למוסיקה “רון שולמית” במכללת לוינסקי בתל אביב. ייסדה מגמות למוסיקה בשישה בתי ספר תיכון חרדיים ונמנתה על צוות ההקמה והניהול של הקונסרבטוריון לבנות חרדיות “רון שולמית”.",,,,,,,,,,,,902
גרגורי קוטלר,איש,,,,,,,,,,,,,,,,,903
אריה קיזל,איש,,,,,"ראש החוג ללמידה, הוראה והדרכה בפקולטה לחינוך, אוניברסיטת חיפה",,,,,,,,,,,,904
רות קנולר לוי,איש,,,,,,,,,,,,,,,,,905
בתיה שוכן אורבוך,איש,,,,,,,,,,,,,,,,,906
אוהד אבירם,איש,,,,,"מנהל מרכזי הכשרות להיערכות פסיכולוגית לחירום, הקואליציה הישראלית לטראומה",,,,,,,,,,,,907
יונתן אורן,איש,,,,,"ראש הלימודיים התורניים, קמפוס טל, המרכז האקדמי לב - בית הספר הגבוה לטכנולוגיה בירושלים",,,,,,,,,,,,908
שגיב אלבז,איש,,,,,"מנהל, תיכון יחד מודיעין",,,,,,,,,,,,909
יאיר אלברטון,איש,,,,,"מנכ""ל ומייסד, עמותת קהילה - לתיקון חברתי וכלכלי בישראל",,,,,,,,,,,,910
שחר בר יהודה,איש,,,,,"מנהל תחום חינוך, חטיבת נעורים, אלו""ט - אגודה לאומית לילדים אוטיסטים",,,,,,,,,,,,911
הראל גוטשטיין,איש,,,,,"הכשרת מנהלים, סמינר הקיבוצים - המכללה לחינוך, לטכנולוגיה ואומנויות",,,,,,,,,,,,912
צחי גולן,איש,,,,,,,,,,,,,,,,,913
יהודה ג'יסון,איש,,,,,"מנהל, ישיבת בני עקיבא אורות יהודה, אפרת",,,,,,,,,,,,914
רבקה גלט,איש,,,,,,,,,,,,,,,,,915
עדנאן טראבשה,איש,,,,,,,,,,,,,,,,,916
תמי ישראלי,איש,,,,,"ראש מרכז לוין קיפניס לספרות ילדים, מכללת לוינסקי לחינוך",,,,,,,,,,,,917
קובי עמר,איש,,,,,,,,,,,,,,,,,918
יוהנה צימרמן,איש,,,,,,,,,,,,,,,,,919
רות קבסה-אברמזון,איש,,,,,"מנכ""לית, עמותת שערים. בת 37, מירושלים. עוסקת מאז מלחמת לבנון השנייה בהשפעת אתוס משותף על יכולת משילות בישראל, הן בשדה המחקרי כדוקטורנטית והן בשדה העשייה הציבורית. כיהנה כחוקרת אורחת ב-UCLA, וכראש תחום מנהיגות וממשל בג'וינט ישראל. לשעבר מנהלת מתנ""ס. בוגרת בית הספר למנהיגות חינוכית של קרן מנדל ישראל. חברה ומתנדבת בתנועת ""תיקון"".",,,,,,,,,,,,920
הרן רייכמן,איש,,,,,"מנהל מקצועי, הקליניקות המשפטיות, הפקולטה למשפטים, אוניברסיטת חיפה",,,,,,,,,,,,921
מנברו שמעון,איש,,,,,,,,,,,,,,,,,922
אילאיל אלכסנדר,איש,,,,,,,,,,,,,,,,,923
מיכאל ביטון,איש,,,,,"ראש עיריית ירוחם מאז 2010. שותף ויו”ר מכהן של קואליציית הנגב, התארגנות אזורית שהוקמה על מנת לקדם שגשוג עבור כל תושבי הנגב.",,,,,,,,,,,,924
לאה בכר צליק,איש,,,,,"מנהלת, חטיבת הביניים, תיכון עירוני א' לאומנויות, תל אביב",,,,,,,,,,,,925
ליאת בר שישת,איש,,,,,"מנהלת , בית הספר היסודי ""קרוב"" משלב - יצירתי, צור הדסה",,,,,,,,,,,,926
אפרת דגני-טופורוב,איש,,,,,,,,,,,,,,,,,927
חנה דורסמן,איש,,,,,"מנכ""ל, עמותת חינוך לפסגות. מנכ”לית עמותת חינוך לפסגות. ניהלה את מחלקת ההדרכה בעמותת “ידידים - למען הנוער והחברה”, עסקה בפיתוח מנהיגות קהילתית ופיתוח שירותים קהילתיים במועצה אזורית חבל יבנה והנחתה קבוצות לנוער במצבי סיכון במסגרות שונות. חנה ניהלה את המדור למעורבות חברתית של אוניברסיטת תל-אביב במסגרתו יזמה ופיתחה פרויקטים חברתיים רבים וכן ניהלה את “המרכז למפעלות חברתיים ע”ש עמירם סיון” - מרכז להנגשת השכלה גבוהה לאוכלוסיות שונות אשר נמצא אף הוא באוניברסיטת ת”א. בוגרת בית הספר למנהיגות חינוכית במכון מנדל, בעלת תואר ראשון בעבודה סוציאלית מאוניברסיטת בר אילן ותואר שני בעבודה סוציאלית מאוניברסיטת תל-אביב.",,,,,,,,,,,,928
פז הירשמן,איש,,,,,"מנכ""ל שותף, צופן מרכזי טכנולוגיה עילית",,,,,,,,,,,,929
דליה חלבי,איש,,,,,"מנכ""לית, דיראסאת, מרכז ערבי למשפט ומדיניות",,,,,,,,,,,,930
צחי כהן,איש,,,,,,,,,,,,,,,,,931
עמית לרנר,איש,,,,,"לשעבר מנהלת שותפה, המסלול לתואר ראשון בחינוך וניהול עסקים חברתיים, המכון לחינוך דמוקרטי",,,,,,,,,,,,932
תמר מילשטיין,איש,,,,,"מרצה לחינוך סביבתי, התוכנית להכשרת מורים לתואר ראשון, מכללת קיי",,,,,,,,,,,,933
כרים נאסר,איש,,,,,"מנהל, בית ספר הלב הקדוש, חיפה",,,,,,,,,,,,934
יונית נעמן,איש,,,,,"עורכת ודוקטורנטית , אוניברסיטת בן-גוריון בנגב",,,,,,,,,,,,935
שמואל סלוטקי,איש,,,,,"רב, קהילת ישראל הצעיר רמות ג', ירושלים",,,,,,,,,,,,936
רחל עזריה,איש,,,,,"ח""כ רחל עזריה
חברת כנסת, מטעם סיעת ""כולנו"", הכנסת",,,,,,"ח""כ",,,,,,937
תומר אושרי,איש,,,,,"מנהל, בית ספר המקיף העירוני ע""ש סליגסברג",,,,,,,,,,,,938
ורד אמר,איש,,,,,"מנכ""לית, המועצה המקומית כפר ורדים",,,,,,,,,,,,939
קרן אפשטיין,איש,,,,,"מרצה, סמינר הקיבוצים המכללה לחינוך לטכנולוגיה ולאומנויות",,,,,,,,,,,,940
דוד בלויגרונד,איש,,,,,"גזבר, מועצה מקומית רכסים",,,,,,,,,,,,941
מולו ברהן,איש,,,,,,,,,,,,,,,,,942
גד ברטוב,איש,,,,,,,,,,,,,,,,,943
לימור ברמן,איש,,,,,,,,,,,,,,,,,944
אריאב יוסט,איש,,,,,,,,,,,,,,,,,945
עופר יחיא,איש,,,,,"מנהל, תיכון אורט צור ברק, מחנה עמנואל (ג'וליס לשעבר)",,,,,,,,,,,,946
בצלאל כהן,איש,,,,,,,,,,,,,,,,,947
לירית סרפוס,איש,,,,,"מנהלת תחום בכירה באגף לחברה וממשל, משרד ראש הממשלה",,,,,,,,,,,,948
רויטל עמירן,איש,,,,,"עיתונאית, מעריב",,,,,,,,,,,,949
דוד פרידמן,איש,,,,,"מנהל, בית ספר יסודי צומח ""חיים חפר"" עיר ימים, נתניה",,,,,,,,,,,,950
יואב פרידן,איש,,,,,"מנהל, בי''ס עירוני א' לאומנויות, תל אביב",,,,,,,,,,,,951
דויד פרץ,איש,,,,,"מרצה, המכללה האקדמית ספיר",,,,,,,,,,,,952
אודי קליין,איש,,,,,"מנהל, בית הספר לאומנויות, קמפוס אריסון, תל אביב-יפו",,,,,,,,,,,,953
גדעון קפלן,איש,,,,,,,,,,,,,,,,,954
אבי אור,איש,,,,,"מנהל, בית הספר התיכון השש שנתי, ברנקו וייס, בית שמש",,,,,,,,,,,,955
עינת אוריון,איש,,,,,"לשעבר מנהלת חינוכית, המרכז הישראלי לחדשנות בחינוך",,,,,,,,,,,,956
ורד אלטשולר אזרחי,איש,,,,,"מנהלת ומייסדת מרכז הורים מורים וילדים, בית ספר גואטמלה, ירושלים",,,,,,,,,,,,957
טל אל-על,איש,,,,,,,,,,,,,,,,,958
איתי אשר,איש,,,,,,,,,,,,,,,,,959
תומר בוהדנה,איש,,,,,"מייסד ומנהל, דארנא-קהילה חינוכית שיקומית לנוער",,,,,,,,,,,,960
מיכל בן דב,איש,,,,,,,,,,,,,,,,,961
יפתח גיא,איש,,,,,,,,,,,,,,,,,962
שלום וייל,איש,,,,,"מנהל, תיכון שש-שנתי אורט פלך בנים",,,,,,,,,,,,963
מוחמד חליל,איש,,,,,,,,,,,,,,,,,964
בניהו טבילה,איש,,,,,,,,,,,,,,,,,965
רויטל יהלום,איש,,,,,,,,,,,,,,,,,966
נתנאל ליבוביץ,איש,,,,,"עובד במחלקת מחקר ופיתוח, זרטו",,,,,,,,,,,,967
רותי ניסן,איש,,,,,"מנהלת בית ספר, מייסדת, קמפוס דורה לאמנויות",,,,,,,,,,,,968
עמיר סומקאי פינק,איש,,,,,"סמנכ""ל, האגודה הישראלית לאקולוגיה ומדעי הסביבה",,,,,,,,,,,,969
איתי קרין,איש,,,,,"לשעבר מנהל, בית הספר היסודי יד""ע, קריית ביאליק",,,,,,,,,,,,970
ורדית רוזנבלום,איש,,,,,"מנחה, קרן מנדל-ישראל, מכון מנדל למנהיגות. עורכת דין וטוענת רבנית",,,,,,,,,,,,971
נתי שטרן,איש,,,,,"מנהל, תיכון עירוני ד', תל אביב",,,,,,,,,,,,972
נילי אבינון,איש,,,,,"מייסדת ומנהלת, חינוך, טכנולוגיה וחדשנות",,,,,,,,,,,,973
אפרת ארן,איש,,,,,"סמנכ""לית תוכן ופיתוח מקצועי, אלומה. בעלת תואר ראשון בהנדסה תעשייה וניהול, תואר שני במנהל עסקים ובוגרת בית הספר מנדל למנהיגות חינוכית. הצטרפה לאלומה בשנת 2016 גרה בירושלים, נשואה ואם לשלושה.
מנטורית בתכנית 'מובילות' למנהיגות תעסוקתית של נשים חרדיות, חברה בוועד המנהל של 'התנועה הירושלמית', ודירקטורית מטעם הציבור באגודת 'רנה קאסן' - תאגיד החינוך של עיריית ירושלים.",,,,,,,,,,,,974
טלי אשר,איש,,,,,"ראש תחום חברה ותרבות, סמינר הקיבוצים המכללה לחינוך לטכנולוגיה ולאמנויות",,,,,,,,,,,,975
יאיר בן שלום,איש,,,,,"מנהל, היכל הזיכרון הממלכתי לחללי מערכות ישראל",,,,,,,,,,,,976
מתן ברק,איש,,,,,,,,,,,,,,,,,977
יעל גולן,איש,,,,,,,,,,,,,,,,,978
יעל גוראון,איש,,,,,,,,,,,,,,,,,979
עירית הלוי,איש,,,,,,,,,,,,,,,,,980
מנחם דוד לזר,איש,,,,,"זירת הסובלנות, מייסד",,,,,,,,,,,,981
סמאח סלאימה,איש,,,,,"מייסדת ומנהלת, נע""מ - נשים ערביות במרכז",,,,,,,,,,,,982
רנא פאהום,איש,,,,,,,,,,,,,,,,,983
תהילה פרידמן נחלון,איש,,,,,,,,,,,,,,,,,984
אהרון הנרי קצב,איש,,,,,,,,,,,,,,,,,985
איה רימון,איש,,,,,"לשעבר מנהלת המגזר הבדואי בדרום ישראל, החברה להגנת הטבע",,,,,,,,,,,,986
שירה הבטם שאטו,איש,,,,,,,,,,,,,,,,,987
אמירה אהרונוביץ,איש,,,,,,,,,,,,,,,,,988
אורית אלגאוי הרשלר,איש,,,,,,,,,,,,,,,,,989
איתי אלטר,איש,,,,,"מורה, יסוד אחוזה - בי""ס למדעים ומנהיגות, בית הספר הריאלי העברי בחיפה",,,,,,,,,,,,990
עדנה אלטר-דמבו,איש,,,,,"לשעבר מנהלת, מערך הדיור בקהילה של ארגון אלאור. בעבר מנהלת מסי""לה - מרכז סיוע ומידע לקהילה הזרה",,,,,,,,,,,,991
מאיה אקסקלוב,איש,,,,,,,,,,,,,,,,,992
ורד בכר,איש,,,,,"לשעבר מנהלת תוכנית, תקוות אחינו פרויקט שלבים",,,,,,,,,,,,993
אודיה ברקן,איש,,,,,"מרצה למוסיקה ומנהלת פרויקטים, בית הספר למוסיקה, הקריה האקדמית אונו",,,,,,,,,,,,994
עלי חיידר,איש,,,,,,,,,,,,,,,,,995
יצחק טרכטינגוט,איש,,,,,,,,,,,,,,,,,996
גידי יהושע,איש,,,,,,,,,,,,,,,,,997
גיל יערי,איש,,,,,"מנהל, בית הספר הדמוקרטי ""רותם"", מצפה רמון",,,,,,,,,,,,998
אריה מנדלבוים,איש,,,,,"מנהל בית ספר ומייסד, בית חינוך משעולים עתלית",,,,,,,,,,,,999
נעמי עיני,איש,,,,,,,,,,,,,,,,,1000
גיש עמית,איש,,,,,"מנהל, בית הספר היסודי ""שיבולים"", נס ציונה",,,,,,,,,,,,1001
רינת פורת,איש,,,,,"מנהלת תחום מדעי החיים, הקרן הלאומית למדעים",,,,,,,,,,,,1002
נתן פרלמן,איש,,,,,,,,,,,,,,,,,1003
אודית קורינלדי סירקיס,איש,,,,,,,,,,,,,,,,,1004
עדית קמחי,איש,,,,,"מנהלת מחלקת חינוך והדרכה, מוזיאון ארצות המקרא בירושלים",,,,,,,,,,,,1005
אלעד רוזנטל,איש,,,,,"מנהל היחידה לאכיפה אזרחית , פרקליטות המדינה",,,,,,,,,,,,1006
תמר שוורץ,איש,,,,,"מנכ""לית, רוח נשית. בעבר ארגון מסיל""ה- מרכז סיוע ומידע לקהילה",,,,,,,,,,,,1007
חגי אהרוני,איש,,,,,"מנהל, חטיבת ביניים, תיכון אור - צור הדסה",,,,,,,,,,,,1008
משה אוחיון,איש,,,,,"ממונה על תכנון ופיתוח, קרן מנדל ישראל - מרכז מנדל למנהיגות בצפון",,,,,,,,,,,,1009
שרי ברוש-רכב,איש,,,,,"סמנכל""ית חינוך, SpaceIL",,,,,,,,,,,,1010
נתי ברק,איש,,,,,"מנהל, תיכון יובלים",,,,,,,,,,,,1011
אהרן גפן,איש,,,,,"מורה למתמטיקה ומארגן קהילתי, בית הספר הדו לשוני בירושלים",,,,,,,,,,,,1012
אליעזר הופמן,איש,,,,,,,,,,,,,,,,,1013
אימאן חטיב-יאסין,איש,,,,,"מנהלת ומקימה, מתנ""ס זמר, מועצה מקומית זמר",,,,,,,,,,,,1014
גל חירות,איש,,,,,"מנהלת מרכז ניהול ידע, מורים מובילים, מכון מופת",,,,,,,,,,,,1015
ארז חסון,איש,,,,,"מורה להיסטוריה, תיכון ע""ש ברל כצנלסון, כפר סבא",,,,,,,,,,,,1016
מבשרת יעקבס,איש,,,,,"מנהלת, מנהלת תיכון חמ""ד יגאל אלון, יהוד",,,,,,,,,,,,1017
אסף ירחי,איש,,,,,"מנהל, בית ספר תיכון לבנות דרכא, נתיבות",,,,,,,,,,,,1018
יואב ללום,איש,,,,,"עורך דין, עצמאי. יליד 1979, תושב ירושלים, עורך דין פרטי ומרצה-מתרגל במרכז האקדמי 'שערי משפט'. בשנת 2002 ייסד את עמותת 'נוער-כהלכה', עמותה שהייתה פעילה בתחום הנערים הנושרים במגזר החרדי, ועד לאחרונה ריכז את המאבק באפליה העדתית בחינוך החרדי בישראל. לאחר סיום לימודיו התורניים בישיבות ובכוללים שימש יואב כראש לשכת הרב הראשי לישראל לשעבר, הרב אליהו בקשי-דורון שליט""א, וניהל את מוסדותיו החינוכיים והתורניים. ליואב תואר ראשון במשפטים מהקריה האקדמית אונו (הקמפוס החרדי) והסמכה כעורך דין, תואר שני במשפטים מהאוניברסיטה העברית, וכן תעודת הוראה. הוא מתעניין בפוליטיקה ובפעולות לחיזוק ולעידוד ההשכלה בחינוך היסודי החרדי. יואב הינו קצין במילואים, בוגר ""מנדל – בית הספר למנהיגות חינוכית"", נבחר לאביר איכות השלטון לשנת 2011 וזכה בפרס פועל צדק בחינוך של עמותת קדמה לשנת תשס""ט.",,,,,,,,,,,,1019
שרון מלכי,איש,,,,,"מנהלת, בית הספר היסודי בקריית חינוך יפו",,,,,,,,,,,,1020
עמיעד מלצר,איש,,,,,"מנהל, בית ספר סאלד",,,,,,,,,,,,1021
מירי ניצני,איש,,,,,"מנהלת, בית חינוך צומח, ראש העין",,,,,,,,,,,,1022
אורית סומר,איש,,,,,"מנהלת, בית ספר יסודי ממלכתי ""האמנים"", רמלה",,,,,,,,,,,,1023
